home,away,home_elo,away_elo,home_form,away_form,attack_diff,defense_diff,injury_delta,result
Spain,Netherlands,2085,2005,0.87,0.80,0.30,-0.15,-1,2
Germany,Argentina,2080,2060,0.80,0.87,0.10,0.05,0,2
France,Croatia,2050,1990,0.87,0.73,0.35,-0.10,0,2
Argentina,France,2100,2075,0.87,0.80,0.20,0.10,0,2
Brazil,Germany,2050,2085,0.73,0.87,-0.20,0.15,-1,0
Portugal,Uruguay,2050,1985,0.80,0.67,0.15,-0.20,0,2
Belgium,Brazil,2030,2065,0.80,0.87,-0.10,0.05,0,2
France,Argentina,2060,2050,0.80,0.73,0.10,-0.10,-1,2
England,Croatia,2010,1985,0.87,0.73,0.15,-0.15,0,0
Germany,Brazil,2075,2050,0.87,0.80,0.20,0.10,-1,2
Germany,France,2075,2035,0.87,0.73,0.25,0.10,0,2
Argentina,Netherlands,2080,2015,0.87,0.73,0.15,-0.05,0,1
Spain,Portugal,2100,1980,0.87,0.67,0.30,-0.15,0,1
Brazil,Chile,2060,1955,0.80,0.67,0.20,-0.15,0,1
Germany,Algeria,2075,1780,0.80,0.60,0.55,-0.35,0,2
Netherlands,Costa Rica,2015,1750,0.73,0.67,0.45,-0.30,0,1
Colombia,Uruguay,1985,1975,0.80,0.60,0.10,-0.15,-1,2
France,Nigeria,2035,1810,0.73,0.67,0.30,-0.25,0,2
Argentina,Switzerland,2080,1830,0.80,0.60,0.35,-0.20,0,2
Brazil,Mexico,2065,1900,0.73,0.73,0.20,-0.15,0,2
Belgium,USA,2030,1815,0.80,0.60,0.30,-0.25,0,2
England,Colombia,2005,1985,0.87,0.60,0.10,-0.20,0,1
Spain,Russia,2075,1670,0.73,0.67,0.60,-0.40,0,0
Croatia,Denmark,1985,1770,0.73,0.60,0.15,-0.20,0,1
Sweden,Switzerland,1770,1830,0.60,0.60,-0.10,0.05,0,2
Brazil,Mexico,2075,1905,0.87,0.73,0.20,-0.15,0,2
Uruguay,Portugal,1985,2050,0.67,0.87,-0.20,0.15,-1,0
Japan,Belgium,1820,2030,0.73,0.87,-0.35,0.20,0,0
Russia,Croatia,1670,1985,0.60,0.73,-0.30,0.25,0,1
Netherlands,USA,2020,1810,0.87,0.67,0.30,-0.25,0,2
Argentina,Australia,2100,1720,0.80,0.60,0.55,-0.30,0,2
France,Poland,2100,1665,0.87,0.60,0.55,-0.35,0,2
England,Senegal,2010,1745,0.87,0.60,0.30,-0.20,0,2
Japan,Croatia,1820,1985,0.67,0.60,-0.20,0.15,0,1
Brazil,South Korea,2065,1870,0.87,0.60,0.35,-0.25,0,2
Morocco,Spain,1930,2075,0.73,0.67,-0.30,0.25,0,1
Portugal,Switzerland,2050,1830,0.80,0.60,0.35,-0.20,0,2
Croatia,Brazil,1985,2065,0.60,0.87,-0.30,0.20,0,1
Netherlands,Argentina,2020,2100,0.73,0.80,-0.15,0.10,0,1
Morocco,Portugal,1930,2050,0.73,0.80,-0.20,0.15,0,2
England,France,2000,2100,0.87,0.87,-0.15,0.05,0,0
Argentina,Croatia,2100,1985,0.87,0.60,0.25,-0.15,0,2
France,Morocco,2100,1930,0.87,0.73,0.30,-0.20,0,2
Argentina,France,2100,2100,0.87,0.87,0.00,0.00,0,1
Spain,Germany,2080,2010,0.80,0.80,0.15,-0.05,0,1
Italy,France,2050,2050,0.80,0.80,0.00,0.00,0,1
Portugal,Spain,2050,2085,0.80,0.87,-0.10,0.10,0,1
Germany,Italy,2075,2050,0.87,0.80,0.15,-0.05,0,2
Italy,England,2050,2010,0.80,0.80,0.10,-0.05,0,1
Denmark,England,1770,2010,0.60,0.87,-0.35,0.20,0,0
Spain,Italy,2085,2050,0.87,0.87,0.10,-0.05,-1,2
Belgium,Italy,2030,2050,0.87,0.87,-0.05,0.00,0,0
France,Switzerland,2100,1830,0.80,0.60,0.40,-0.25,0,0
Netherlands,Czechia,2015,1850,0.80,0.60,0.25,-0.15,0,0
Croatia,Spain,1985,2085,0.67,0.87,-0.25,0.15,0,1
Belgium,Portugal,2030,2050,0.80,0.73,-0.10,0.05,0,2
Uruguay,Portugal,1985,2050,0.67,0.87,-0.20,0.15,-1,0
France,Argentina,2035,2050,0.80,0.73,-0.05,0.05,0,2
Germany,Sweden,2075,1770,0.87,0.60,0.40,-0.25,0,2
Netherlands,Mexico,2020,1900,0.87,0.60,0.20,-0.15,0,2
Chile,Brazil,1955,2060,0.60,0.87,-0.25,0.15,0,1
Costa Rica,Greece,1750,1730,0.67,0.60,0.05,-0.05,0,1
Portugal,Ghana,2050,1820,0.87,0.60,0.30,-0.20,0,2
Wales,Iran,1770,1740,0.60,0.60,-0.05,0.05,0,0
Ecuador,Senegal,1770,1745,0.60,0.60,0.05,-0.05,0,0
Cameroon,Serbia,1650,1795,0.60,0.60,-0.15,0.10,0,1
Ghana,South Korea,1820,1870,0.60,0.60,-0.05,0.05,0,2
Costa Rica,Japan,1750,1820,0.60,0.73,-0.15,0.10,0,2
Belgium,Canada,2030,1720,0.80,0.60,0.30,-0.20,0,2
Denmark,France,1770,2100,0.60,0.87,-0.30,0.20,0,0
Poland,Saudi Arabia,1665,1620,0.60,0.60,0.05,-0.05,0,2
Argentina,Saudi Arabia,2100,1620,0.87,0.60,0.55,-0.35,0,0
Germany,Japan,2075,1820,0.87,0.60,0.30,-0.20,0,0
Spain,Costa Rica,2085,1750,0.87,0.60,0.55,-0.35,0,2
England,Iran,2010,1740,0.87,0.60,0.35,-0.25,0,2
USA,Wales,1815,1770,0.73,0.60,0.05,-0.05,0,1
Senegal,Netherlands,1745,2020,0.60,0.87,-0.30,0.20,0,0
Mexico,Poland,1900,1665,0.73,0.60,0.15,-0.10,0,1
France,Australia,2100,1720,0.87,0.60,0.40,-0.25,0,2
Morocco,Croatia,1930,1985,0.73,0.73,-0.10,0.05,0,1
Belgium,Morocco,2030,1930,0.80,0.73,0.10,-0.05,0,0
Portugal,Uruguay,2050,1985,0.80,0.67,0.20,-0.10,0,2
South Korea,Portugal,1870,2050,0.60,0.87,-0.20,0.15,0,2
Cameroon,Brazil,1650,2065,0.60,0.80,-0.40,0.30,0,2
Serbia,Switzerland,1795,1830,0.60,0.73,-0.05,0.05,0,0
Ghana,Uruguay,1820,1985,0.60,0.60,-0.15,0.10,0,0
Bulgaria,Mexico,1800,1820,0.60,0.73,-0.10,0.05,0,0
Belgium,Soviet Union,1820,1880,0.73,0.87,-0.20,0.10,0,2
Argentina,Uruguay,1950,1870,0.87,0.73,0.25,-0.15,0,2
Brazil,Poland,1960,1810,0.87,0.73,0.35,-0.25,0,2
France,Italy,1930,1930,0.87,0.80,0.05,-0.05,0,2
Morocco,West Germany,1720,1955,0.60,0.87,-0.50,0.30,0,0
England,Paraguay,1885,1780,0.87,0.73,0.25,-0.20,0,2
Spain,Denmark,1900,1850,0.87,0.80,0.15,-0.10,0,2
France,Brazil,1930,1960,0.87,0.87,-0.05,0.05,0,1
West Germany,Mexico,1955,1820,0.87,0.73,0.30,-0.20,0,1
Argentina,England,1950,1885,0.87,0.87,0.10,-0.05,0,2
Belgium,Spain,1820,1900,0.73,0.87,-0.25,0.10,0,1
West Germany,France,1955,1930,0.87,0.80,0.10,-0.05,0,2
Argentina,Belgium,1950,1820,0.87,0.73,0.30,-0.20,0,2
Argentina,West Germany,1950,1955,0.87,0.87,-0.05,0.05,0,2
Cameroon,Colombia,1740,1810,0.73,0.73,-0.10,0.05,0,2
Czechoslovakia,Costa Rica,1860,1710,0.87,0.67,0.40,-0.30,0,2
Argentina,Brazil,1945,1940,0.80,0.87,-0.05,0.05,0,2
